Date,Open,High,Low,Close,Adj Close,Volume
2017-08-24,115.525833,121.073448,115.017654,118.490204,110.743645,2478386
2017-08-28,118.151421,121.115791,117.812637,120.141785,112.287254,2172805
2017-08-29,119.930046,122.428589,116.965668,117.389153,109.714584,1680499
2017-08-30,119.337166,119.972389,118.320816,119.675957,111.851883,1001623
2017-08-31,119.040733,121.369881,118.151421,120.522919,112.643478,2221375
2017-09-01,120.268829,125.011826,119.972389,124.545998,116.403534,2808531
2017-09-04,124.927132,126.875145,115.187050,123.148506,115.097404,2170877
2017-09-05,123.995468,126.282272,123.148506,125.011826,116.838913,1504148
2017-09-06,123.656685,128.484375,122.809723,127.510368,119.174095,4094041
2017-09-07,127.891502,129.077255,125.011826,127.171585,118.857468,1401508
2017-09-08,127.552719,127.552719,124.418953,126.621056,118.342934,1099250
2017-09-11,127.425674,127.425674,123.656685,124.249557,116.126480,838383
2017-09-12,124.503647,132.338058,124.164864,129.627777,121.153076,5169724
2017-09-13,130.432388,131.660492,127.044540,127.383324,119.055359,2426380
2017-09-14,127.891502,131.025269,127.468018,129.246643,120.796875,5895524
2017-09-15,128.738464,134.328430,128.399673,133.057983,124.359024,6101852
2017-09-18,135.514175,136.699921,134.328430,134.624863,125.823471,2842345
2017-09-19,134.751907,135.471832,132.846237,134.116684,125.348503,1807612
2017-09-20,134.243729,135.429474,132.634491,134.709564,125.902618,1072107
2017-09-21,134.709564,135.090698,126.621056,129.670120,121.192642,2391841
2017-09-22,129.077255,129.670120,125.520004,126.451660,118.184601,1966870
2017-09-25,125.604698,126.536362,120.734657,122.005104,114.028748,1755940
2017-09-26,122.174500,127.468018,120.861702,125.138870,116.957649,1286402
2017-09-27,125.774094,126.875145,120.861702,121.496925,113.553810,725616
2017-09-28,120.268829,123.571983,120.268829,120.988747,113.078850,991441
2017-09-29,121.200485,123.910774,121.200485,122.132149,114.147499,1475737
2017-10-03,123.656685,124.080162,120.692314,121.115791,113.197586,1253201
2017-10-04,121.962753,124.418953,121.496925,121.962753,113.989174,2289267
2017-10-05,122.470932,123.699036,120.946404,121.454575,113.514221,1368814
2017-10-06,121.200485,123.402596,119.845345,121.073448,113.158012,2242464
2017-10-09,121.962753,123.995468,121.115791,123.190857,115.136986,6501757
2017-10-10,123.233200,126.366966,122.979111,123.826073,115.730667,5841399
2017-10-11,124.334251,126.197571,122.428589,123.402596,115.334885,10968575
