Date,Open,High,Low,Close,Adj Close,Volume
2021-10-25,549.650024,571.049988,540.000000,559.900024,543.117859,4926398
2021-10-26,567.049988,574.799988,557.400024,568.200012,551.169006,2430708
2021-10-27,567.849976,576.500000,558.099976,564.849976,547.919373,1619860
2021-10-28,564.000000,564.000000,540.000000,545.000000,528.664368,2809846
2021-10-29,545.000000,575.000000,540.349976,561.000000,544.184814,4705497
2021-11-01,565.000000,596.200012,561.000000,590.200012,572.509644,4794697
2021-11-02,596.049988,602.049988,582.500000,587.599976,569.987549,4045428
2021-11-03,589.000000,604.349976,584.000000,593.599976,575.807678,3047044
2021-11-04,594.000000,611.049988,594.000000,607.549988,589.339539,1888163
2021-11-08,612.000000,612.000000,568.000000,576.700012,559.414246,5888825
2021-11-09,580.150024,583.500000,570.700012,581.099976,563.682373,2005596
2021-11-10,582.000000,582.000000,569.099976,572.599976,555.437073,1051460
2021-11-11,573.000000,576.500000,560.599976,567.299988,550.295959,854033
2021-11-12,566.900024,569.500000,555.200012,562.349976,547.908875,1004838
2021-11-15,563.950012,569.549988,554.049988,556.349976,542.062927,722416
2021-11-16,556.000000,564.849976,546.000000,547.299988,533.245422,818406
2021-11-17,548.849976,559.599976,546.000000,554.150024,539.919495,1115665
2021-11-18,555.900024,555.900024,533.000000,538.750000,524.914917,1105136
2021-11-22,539.900024,544.299988,534.849976,540.500000,526.619995,1338075
2021-11-23,536.000000,546.700012,532.500000,535.799988,522.040649,1631452
2021-11-24,536.500000,546.349976,534.299988,536.500000,522.722717,1054609
2021-11-25,537.000000,545.799988,529.750000,537.299988,523.502197,2558178
2021-11-26,533.849976,543.000000,517.650024,523.299988,509.861664,1667184
2021-11-29,518.200012,529.650024,506.000000,522.299988,508.887360,1284166
2021-11-30,524.950012,535.500000,517.799988,520.950012,507.572052,875950
2021-12-01,522.099976,531.000000,517.250000,524.049988,510.592407,1036599
2021-12-02,526.000000,535.000000,523.000000,533.650024,519.945984,772858
2021-12-03,534.500000,539.549988,526.150024,528.000000,514.440979,679161
2021-12-06,529.000000,539.000000,522.450012,527.450012,513.905151,1104735
2021-12-07,531.000000,539.799988,528.849976,531.200012,517.558777,948591
2021-12-08,534.000000,549.000000,533.799988,544.650024,530.663513,1429682
2021-12-09,546.000000,550.950012,539.950012,542.150024,528.227661,861550
2021-12-10,542.150024,553.500000,540.750000,550.500000,536.363220,1483304
2021-12-13,555.000000,555.000000,537.799988,541.000000,527.107178,796165
2021-12-14,540.000000,548.849976,536.099976,546.500000,532.465942,807281
2021-12-15,549.000000,549.000000,535.000000,536.549988,522.771423,515579
2021-12-16,539.950012,540.250000,521.750000,523.450012,510.007874,1114115
2021-12-17,523.450012,524.750000,508.700012,516.250000,502.992737,753446
2021-12-20,511.100006,511.450012,483.299988,489.649994,477.075836,1536168
2021-12-21,498.000000,504.850006,490.250000,495.200012,482.483307,730379
2021-12-22,496.899994,509.000000,494.350006,502.450012,489.547150,855956
2021-12-23,506.700012,510.000000,500.000000,501.500000,488.621521,897887
2021-12-24,505.000000,505.000000,490.000000,491.750000,479.121918,685559
2021-12-27,491.000000,492.350006,484.000000,489.100006,476.539948,769266
2021-12-28,493.000000,499.000000,490.500000,491.899994,479.268036,770062
2021-12-29,492.000000,493.950012,487.049988,490.100006,477.514282,807772
2021-12-30,490.100006,492.000000,484.500000,487.850006,475.322052,569755
2021-12-31,489.000000,501.600006,488.350006,500.100006,487.257477,884623
2022-01-03,500.000000,506.350006,498.700012,504.399994,491.447052,755347
2022-01-04,504.399994,509.450012,501.000000,503.350006,490.424011,507170
2022-01-05,504.399994,509.000000,502.000000,506.700012,493.687988,547743
2022-01-06,504.600006,516.049988,499.700012,512.150024,498.998077,1437403
2022-01-07,516.000000,516.549988,503.450012,506.450012,493.444427,755698
2022-01-10,509.100006,517.700012,508.049988,514.150024,500.946686,467803
2022-01-11,514.900024,524.750000,513.500000,517.549988,504.259338,1032550
2022-01-12,520.000000,521.000000,509.549988,513.299988,500.118500,916851
2022-01-13,512.500000,521.700012,511.899994,520.150024,506.792633,486176
2022-01-14,517.599976,522.150024,514.400024,517.250000,503.967102,478456
2022-01-17,517.250000,519.099976,513.150024,516.450012,503.187653,435538
2022-01-18,517.000000,518.950012,505.000000,507.350006,494.321289,410204
2022-01-19,507.000000,512.400024,498.850006,510.350006,497.244263,490765
2022-01-20,510.100006,514.650024,506.399994,508.450012,495.393066,598579
2022-01-21,506.700012,506.899994,492.000000,495.049988,482.337158,564895
2022-01-24,490.700012,494.899994,470.299988,476.250000,464.019958,733688
2022-01-25,471.000000,486.600006,467.299988,476.149994,463.922516,1074273
2022-01-27,472.000000,479.899994,465.549988,475.000000,462.802063,1072154
2022-01-28,477.350006,501.600006,476.500000,492.950012,480.291107,1213951
2022-01-31,496.049988,501.299988,492.500000,497.799988,485.016541,544340
2022-02-01,502.000000,507.500000,497.000000,504.500000,491.544495,543141
2022-02-02,507.000000,518.349976,507.000000,516.200012,502.944031,745038
2022-02-03,518.000000,518.900024,511.100006,514.500000,501.287689,752221
2022-02-04,515.000000,515.000000,502.450012,505.450012,492.470093,544445
2022-02-07,503.200012,511.850006,500.500000,504.850006,491.885498,632134
2022-02-08,508.850006,509.250000,493.750000,503.600006,490.667633,630782
2022-02-09,508.000000,533.450012,505.299988,517.250000,503.967102,3016310
2022-02-10,521.000000,528.000000,515.250000,521.599976,508.205322,1125210
2022-02-11,526.450012,539.799988,515.250000,517.849976,504.551636,4839806
2022-02-14,509.950012,529.599976,502.299988,516.700012,503.431183,2660475
2022-02-15,518.500000,521.099976,494.000000,510.600006,497.487823,2259375
2022-02-16,515.000000,519.700012,501.000000,502.450012,489.547150,805751
2022-02-17,506.000000,507.000000,490.250000,493.700012,483.427216,1139108
2022-02-18,494.000000,497.600006,484.000000,485.450012,475.348846,1007625
2022-02-21,484.500000,488.700012,471.000000,472.700012,462.864166,1386972
2022-02-22,464.299988,470.000000,456.600006,462.649994,453.023254,1011286
2022-02-23,467.750000,468.950012,462.250000,463.950012,454.296234,737130
2022-02-24,454.000000,456.899994,425.299988,427.200012,418.310913,1701419
2022-02-25,433.200012,451.350006,433.000000,444.899994,435.642578,982793
2022-02-28,440.000000,450.000000,432.850006,447.549988,438.237457,1689794
2022-03-02,442.000000,459.500000,442.000000,453.600006,444.161560,985801
2022-03-03,464.500000,464.500000,446.000000,449.700012,440.342712,853590
2022-03-04,446.399994,451.850006,435.299988,437.250000,428.151764,651124
2022-03-07,433.799988,441.350006,425.000000,438.100006,428.984100,988692
2022-03-08,442.450012,448.000000,429.649994,445.049988,435.789459,1860022
2022-03-09,449.950012,467.350006,445.500000,462.799988,453.170135,1483775
2022-03-10,468.500000,470.000000,453.450012,455.649994,446.168915,1189188
