Date,Open,High,Low,Close,Adj Close,Volume
2017-08-24,715.000000,725.000000,708.000000,712.450012,617.505615,749708
2017-08-28,721.000000,721.000000,709.500000,715.500000,620.149292,547833
2017-08-29,710.500000,716.400024,698.099976,701.400024,607.928223,642314
2017-08-30,704.900024,714.650024,699.299988,704.150024,610.311768,797134
2017-08-31,703.000000,708.000000,692.349976,696.450012,603.637939,788332
2017-09-01,710.299988,782.400024,710.000000,768.299988,665.912842,6404704
2017-09-04,765.000000,812.799988,753.299988,807.400024,699.802368,5820546
2017-09-05,820.000000,839.000000,815.200012,826.200012,716.096863,4700287
2017-09-06,814.250000,848.400024,813.150024,832.549988,721.600586,2312131
2017-09-07,840.000000,846.000000,831.099976,833.150024,722.120605,1207476
2017-09-08,840.650024,841.150024,794.099976,806.950012,699.412231,1976105
2017-09-11,815.900024,836.000000,813.000000,828.400024,718.003601,1234361
2017-09-12,840.000000,840.000000,821.799988,826.250000,716.140198,792563
2017-09-13,834.000000,834.450012,808.200012,812.500000,704.222595,786333
2017-09-14,818.000000,840.000000,813.900024,836.400024,724.937561,1521241
2017-09-15,830.000000,836.000000,815.000000,824.099976,714.276733,1210009
2017-09-18,829.000000,856.000000,826.799988,849.700012,736.465210,1820741
2017-09-19,855.000000,865.500000,843.150024,850.349976,737.028564,1737374
2017-09-20,852.000000,856.000000,838.450012,841.650024,729.487915,694476
2017-09-21,842.000000,847.650024,815.049988,829.549988,719.000366,800734
2017-09-22,831.299988,850.900024,812.000000,819.750000,710.506226,2079777
2017-09-25,819.450012,825.500000,773.450012,783.450012,679.043945,1638011
2017-09-26,788.799988,790.500000,750.799988,771.500000,668.686340,2439743
2017-09-27,780.000000,785.700012,735.950012,743.849976,644.721008,1311763
2017-09-28,743.700012,746.849976,717.450012,733.700012,635.923889,2597410
2017-09-29,740.849976,768.799988,737.049988,762.049988,660.495850,1731092
2017-10-03,770.500000,776.200012,763.000000,766.599976,664.439453,957349
2017-10-04,770.000000,773.950012,756.000000,768.400024,665.999451,770646
2017-10-05,768.400024,792.849976,767.700012,780.750000,676.703857,1023700
2017-10-06,782.950012,790.000000,770.450012,784.849976,680.257324,844932
2017-10-09,788.799988,800.900024,775.500000,793.700012,687.927979,1080642
2017-10-10,799.000000,822.000000,795.000000,817.700012,708.729492,1870830
2017-10-11,823.000000,826.299988,778.099976,783.549988,679.130493,1804332
2017-10-12,790.000000,796.799988,779.299988,794.049988,688.231323,801867
2017-10-13,796.500000,806.500000,792.150024,799.799988,693.215027,671444
2017-10-16,800.150024,819.700012,800.150024,817.000000,708.122803,1407593
2017-10-17,816.000000,825.000000,810.099976,815.799988,707.082703,700019
2017-10-18,815.700012,829.650024,808.299988,813.750000,705.306030,743518
2017-10-19,817.299988,828.299988,800.599976,808.299988,700.582214,112449
2017-10-23,811.900024,816.000000,796.400024,803.849976,696.725342,641254
2017-10-24,806.950012,813.450012,797.049988,804.950012,697.678711,507655
2017-10-25,810.349976,814.450012,796.799988,807.799988,700.148987,475248
2017-10-26,808.950012,824.650024,795.000000,815.900024,707.169434,1012270
2017-10-27,819.450012,858.049988,815.400024,843.450012,731.048035,1358801
2017-10-30,850.000000,854.900024,830.799988,834.150024,722.987488,792812
2017-10-31,838.000000,872.799988,834.200012,856.500000,742.358948,1707119
2017-11-01,856.500000,872.549988,847.250000,853.299988,739.585266,1189898
2017-11-02,857.700012,865.000000,849.599976,854.750000,740.842102,509044
2017-11-03,861.000000,885.000000,856.000000,881.549988,764.070740,1707335
2017-11-06,874.000000,913.000000,865.450012,903.849976,783.398865,2296474
2017-11-07,906.950012,915.799988,870.200012,878.750000,761.643738,1114376
2017-11-08,881.700012,889.200012,866.349976,872.150024,755.923462,686062
2017-11-09,876.000000,886.900024,848.099976,882.400024,764.807373,954037
2017-11-10,873.549988,887.400024,865.599976,872.450012,756.183289,982654
2017-11-13,893.000000,893.000000,844.049988,856.700012,742.532227,1027809
2017-11-14,855.000000,863.099976,846.000000,851.799988,738.285217,697674
2017-11-15,859.000000,859.000000,826.650024,831.500000,720.690430,731657
2017-11-16,837.500000,849.000000,832.049988,845.549988,732.868164,771052
2017-11-17,855.000000,855.000000,839.750000,842.549988,732.433533,550164
2017-11-20,840.500000,845.000000,827.000000,835.599976,726.391846,598348
2017-11-21,838.549988,857.150024,836.599976,848.849976,737.910156,1288479
2017-11-22,854.900024,878.000000,843.099976,874.500000,760.207703,2409739
2017-11-23,883.000000,885.900024,867.000000,879.150024,764.250000,1592211
2017-11-24,883.000000,883.549988,872.099976,877.349976,762.685303,652002
2017-11-27,875.000000,889.700012,866.049988,884.099976,768.553162,982950
2017-11-28,881.799988,896.000000,876.000000,887.349976,771.378357,1395602
2017-11-29,880.250000,893.450012,878.299988,882.400024,767.075317,590545
2017-11-30,880.000000,881.900024,864.000000,869.599976,755.948181,634354
2017-12-01,873.950012,888.000000,841.599976,854.450012,742.778198,1326174
2017-12-04,854.000000,861.700012,828.950012,851.700012,740.387573,1337118
2017-12-05,850.000000,861.349976,838.150024,857.799988,745.690430,759829
2017-12-06,850.000000,857.750000,838.599976,842.250000,732.172729,630614
2017-12-07,846.799988,860.299988,826.650024,857.599976,745.516541,1196478
2017-12-08,859.549988,906.349976,843.000000,901.750000,783.896423,1852664
2017-12-11,907.799988,920.000000,893.299988,906.200012,787.764832,1683039
2017-12-12,905.200012,908.700012,886.099976,891.549988,775.029541,839961
2017-12-13,890.000000,937.000000,886.250000,916.250000,796.501343,3924204
2017-12-14,927.000000,929.849976,901.200012,913.000000,793.676147,1934187
2017-12-15,930.000000,940.750000,925.000000,934.500000,812.366089,1355024
2017-12-18,933.049988,964.000000,898.599976,951.250000,826.927063,2142777
2017-12-19,948.599976,961.049988,933.299988,941.200012,818.190491,2436571
2017-12-20,941.799988,948.900024,925.150024,936.500000,814.104736,1615208
2017-12-21,929.200012,999.799988,924.200012,982.900024,854.440613,6615016
2017-12-22,988.000000,1007.900024,967.000000,999.500000,868.871094,3398360
2017-12-26,986.400024,1018.000000,986.400024,999.450012,868.827637,2444017
2017-12-27,1002.000000,1017.000000,996.000000,1005.250000,873.869507,1558799
2017-12-28,1010.000000,1013.849976,996.450012,999.599976,868.958008,939043
2017-12-29,999.599976,1009.599976,983.549988,990.150024,860.743042,660611
2018-01-01,990.150024,1007.799988,990.150024,998.000000,867.567139,743452
2018-01-02,1001.000000,1004.900024,983.299988,995.200012,865.132996,723049
2018-01-03,1005.000000,1009.750000,996.150024,1004.700012,873.391479,779309
2018-01-04,1007.000000,1030.000000,1005.000000,1028.199951,893.820068,1460645
2018-01-05,1027.250000,1045.000000,1019.000000,1037.949951,902.295837,1065076
2018-01-08,1038.000000,1050.900024,1034.150024,1044.449951,907.946533,812859
2018-01-09,1046.000000,1053.150024,1029.349976,1032.750000,897.775452,717350
2018-01-10,1032.050049,1036.449951,1017.200012,1022.150024,888.560669,829545
2018-01-11,1025.000000,1049.099976,1013.799988,1043.599976,907.207336,663460
2018-01-12,1050.000000,1079.800049,1050.000000,1077.099976,936.329163,1978981
2018-01-15,1082.000000,1083.949951,1066.099976,1073.500000,933.199646,864427
2018-01-16,1075.000000,1097.800049,1066.099976,1079.150024,938.111267,1403769
2018-01-17,1077.000000,1077.099976,1046.400024,1058.150024,919.855896,986876
2018-01-18,1060.000000,1090.000000,1033.099976,1039.000000,903.208618,646908
2018-01-19,1039.000000,1055.949951,1014.400024,1050.199951,912.944763,1066033
2018-01-22,1048.000000,1056.599976,1028.550049,1033.650024,898.557739,482950
2018-01-23,1036.300049,1052.599976,1032.050049,1040.400024,904.425659,547311
2018-01-24,1043.349976,1053.150024,1020.650024,1033.599976,898.514282,491618
2018-01-25,1033.599976,1049.500000,1030.050049,1033.699951,898.601257,1019610
2018-01-29,1039.599976,1045.800049,1017.950012,1021.099976,887.647949,431187
2018-01-30,1021.099976,1032.400024,1002.299988,1027.550049,893.255127,479265
2018-01-31,1028.800049,1030.000000,1015.599976,1024.400024,890.516724,491600
2018-02-01,1028.000000,1029.300049,976.500000,1012.400024,880.085205,651336
2018-02-02,1005.000000,1008.950012,935.000000,953.150024,828.578674,1040044
2018-02-05,947.650024,967.000000,901.450012,953.599976,828.969910,822601
2018-02-06,920.299988,948.549988,893.549988,935.750000,813.452881,1007848
2018-02-07,936.900024,1029.300049,924.049988,933.099976,811.149109,557855
2018-02-08,936.000000,1013.250000,913.250000,1006.549988,874.999512,1927256
